"trialType","block","condition","color","word","rt","response","correct","stim_onset_ms","resp_time_ms"
"stroop_trial","practice","practice","red","chair",723,"g","false",2480,3203
"stroop_trial","practice","practice","green","floor",613,"b","false",4354,4967
"stroop_trial","practice","practice","blue","bottle",469,"b","true",6260,6729
"stroop_trial","practice","practice","red","bottle",673,"b","false",8455,9128
"stroop_trial","practice","practice","red","pencil",457,"r","true",10490,10947
"stroop_trial","practice","practice","red","window",664,"g","false",12292,12956
"stroop_trial","practice","practice","green","paper",509,"g","true",14442,14951
"stroop_trial","practice","practice","red","bottle",285,"g","false",16280,16565
"stroop_trial","practice","practice","blue","chair",550,"b","true",18478,19028
"stroop_trial","practice","practice","blue","table",394,"b","true",20284,20678
"stroop_trial","practice","practice","red","lamp",727,"b","false",22367,23094
"stroop_trial","practice","practice","green","table",592,"g","true",24425,25017
"stroop_trial","test","negative","red","hate",763,"b","false",26512,27275
"stroop_trial","test","positive","green","trust",NA,"g","true",28364,28961
"stroop_trial","test","neutral","blue","pencil",469,"b","true",30357,30826
"stroop_trial","test","positive","green","trust",499,"g","true",32341,32840
"stroop_trial","test","neutral","green","window",517,"r","false",34261,34778
"stroop_trial","test","neutral","red","paper",572,"r","true",36496,37068
"stroop_trial","test","positive","red","smile",493,"r","true",38364,38857
"stroop_trial","test","negative","blue","hate",666,"b","true",40449,41115
"stroop_trial","test","positive","red","peace",NA,"","",42508,42994
"stroop_trial","test","negative","blue","fear",643,"b","true",44330,44973
"stroop_trial","test","negative","red","harsh",618,"g","false",46414,47032
"stroop_trial","test","positive","red","laugh",685,"b","false",48320,49005
"stroop_trial","test","neutral","red","paper",NA,"","",50497,51146
"stroop_trial","test","positive","green","kind",280,"g","true",52404,52684
"stroop_trial","test","positive","red","love",458,"r","true",54452,54910
"stroop_trial","test","neutral","red","ceiling",537,"r","true",56497,57034
"stroop_trial","test","neutral","green","window",496,"b","false",58372,58868
"stroop_trial","test","neutral","blue","lamp",769,"r","false",60461,61230
"stroop_trial","test","neutral","red","door",586,"r","true",62457,63043
"stroop_trial","test","negative","green","fear",NA,"","",64375,65123
"stroop_trial","test","positive","blue","joy",382,"b","true",66232,66614
"stroop_trial","test","neutral","blue","floor",455,"b","true",68341,68796
"stroop_trial","test","negative","red","mean",676,"r","true",70387,71063
"stroop_trial","test","neutral","blue","floor",548,"g","false",72330,72878
"stroop_trial","test","positive","red","love",840,"g","false",74313,75153
"stroop_trial","test","neutral","blue","door",353,"b","true",76479,76832
"stroop_trial","test","positive","green","peace",544,"g","true",78496,79040
"stroop_trial","test","neutral","green","floor",720,"b","false",80413,81133
"stroop_trial","test","negative","blue","fear",758,"b","true",82516,83274
"stroop_trial","test","neutral","blue","chair",489,"r","false",84419,84908
"stroop_trial","test","neutral","red","door",453,"r","true",86223,86676
"stroop_trial","test","neutral","green","ceiling",748,"g","true",88397,89145
"stroop_trial","test","negative","blue","sad",488,"b","true",90300,90788
"stroop_trial","test","negative","green","anger",708,"r","false",92339,93047
"stroop_trial","test","neutral","blue","bottle",518,"b","true",94382,94900
"stroop_trial","test","neutral","red","paper",486,"r","true",96502,96988
"stroop_trial","test","negative","blue","anger",808,"g","false",98383,99191
"stroop_trial","test","neutral","blue","door",423,"g","false",100468,100891
"stroop_trial","test","neutral","red","window",724,"r","true",102355,103079
"stroop_trial","test","neutral","red","door",NA,"","",104362,104913
"stroop_trial","test","negative","red","fear",454,"b","false",106327,106781
"stroop_trial","test","positive","blue","love",574,"g","false",108368,108942
"stroop_trial","test","neutral","blue","lamp",451,"r","false",110246,110697
"stroop_trial","test","neutral","red","bottle",NA,"r","true",112228,112639
"stroop_trial","test","negative","green","anger",538,"r","false",114298,114836
"stroop_trial","test","neutral","green","lamp",241,"g","true",116499,116740
"stroop_trial","test","positive","green","friend",604,"g","true",118251,118855
"stroop_trial","test","neutral","green","ceiling",344,"g","true",120395,120739
"es_questionnaire","questionnaire",NA,NA,NA,NA,"{""q1"": 4, ""q2"": 1, ""q3"": 4, ""q4"": 4, ""q5"": 3, ""q6"": 2, ""q7"": 2, ""q8"": 2, ""q9"": 3}","",NA,NA
