"trial_type","block","condition","color","word","rt","response","correct","stim_onset_ms","resp_time_ms"
"stroop_trial","practice","practice","blue","bottle",512,"b","true",2029,2541
"stroop_trial","practice","practice","red","pencil",577,"r","true",4321,4898
"stroop_trial","practice","practice","red","floor",376,"r","true",6148,6524
"stroop_trial","practice","practice","red","bottle",590,"r","true",8323,8913
"stroop_trial","practice","practice","red","pencil",485,"r","true",10249,10734
"stroop_trial","practice","practice","blue","bottle",468,"b","true",12234,12702
"stroop_trial","practice","practice","green","ceiling",531,"g","true",14137,14668
"stroop_trial","practice","practice","blue","floor",381,"b","true",16321,16702
"stroop_trial","practice","practice","blue","paper",614,"b","true",18168,18782
"stroop_trial","practice","practice","red","ceiling",693,"b","false",20095,20788
"stroop_trial","practice","practice","blue","table",342,"b","true",22105,22447
"stroop_trial","practice","practice","blue","door",NA,"b","true",24141,24632
"stroop_trial","test","positive","blue","smile",596,"b","true",26150,26746
"stroop_trial","test","positive","red","happy",513,"b","false",28284,28797
"stroop_trial","test","negative","green","grim",357,"b","false",30091,30448
"stroop_trial","test","negative","red","bully",649,"r","true",32172,32821
"stroop_trial","test","neutral","red","lamp",249,"r","true",34045,34294
"stroop_trial","test","neutral","green","ceiling",524,"g","true",36223,36747
"stroop_trial","test","neutral","green","window",582,"g","true",38175,38757
"stroop_trial","test","positive","green","love",410,"g","true",40095,40505
"stroop_trial","test","negative","blue","anger",696,"b","true",42224,42920
"stroop_trial","test","negative","green","fear",888,"g","true",44168,45056
"stroop_trial","test","neutral","blue","window",571,"b","true",46062,46633
"stroop_trial","test","neutral","blue","bottle",450,"r","false",48288,48738
"stroop_trial","test","neutral","green","chair",563,"g","true",50167,50730
"stroop_trial","test","negative","blue","pain",NA,"b","true",52137,52691
"stroop_trial","test","neutral","green","chair",665,"g","true",54142,54807
"stroop_trial","test","neutral","red","door",767,"b","false",56186,56953
"stroop_trial","test","positive","green","laugh",442,"b","false",58076,58518
"stroop_trial","test","negative","green","suffer",770,"b","false",60212,60982
"stroop_trial","test","positive","green","laugh",574,"b","false",62319,62893
"stroop_trial","test","neutral","blue","paper",605,"b","true",64068,64673
"stroop_trial","test","neutral","blue","chair",410,"g","false",66212,66622
"stroop_trial","test","positive","red","friend",354,"b","false",68039,68393
"stroop_trial","test","neutral","red","paper",646,"r","true",70292,70938
"stroop_trial","test","neutral","blue","lamp",302,"b","true",72064,72366
"stroop_trial","test","negative","blue","fear",NA,"","",74090,74821
"stroop_trial","test","positive","red","love",566,"r","true",76194,76760
"stroop_trial","test","positive","blue","trust",427,"b","true",78139,78566
"stroop_trial","test","negative","red","bully",NA,"","",80029,80563
"stroop_trial","test","positive","red","smile",630,"r","true",82262,82892
"stroop_trial","test","neutral","blue","paper",761,"r","false",84099,84860
"stroop_trial","test","neutral","blue","window",643,"b","true",86256,86899
"stroop_trial","test","negative","green","hate",NA,"g","true",88168,88573
"stroop_trial","test","neutral","red","ceiling",546,"r","true",90285,90831
"stroop_trial","test","positive","red","laugh",642,"r","true",92058,92700
"stroop_trial","test","neutral","green","pencil",635,"g","true",94256,94891
"stroop_trial","test","neutral","blue","floor",281,"r","false",96312,96593
"stroop_trial","test","neutral","green","chair",610,"g","true",98044,98654
"stroop_trial","test","negative","blue","grim",539,"r","false",100048,100587
"stroop_trial","test","neutral","blue","door",658,"g","false",102303,102961
"stroop_trial","test","negative","green","sad",725,"g","true",104267,104992
"stroop_trial","test","neutral","green","chair",402,"b","false",106084,106486
"stroop_trial","test","neutral","blue","door",554,"b","true",108275,108829
"stroop_trial","test","negative","green","pain",365,"g","true",110142,110507
"stroop_trial","test","positive","red","kind",794,"b","false",112178,112972
"stroop_trial","test","neutral","blue","floor",706,"b","true",114202,114908
"stroop_trial","test","neutral","green","floor",452,"g","true",116197,116649
"stroop_trial","test","positive","blue","kind",750,"b","true",118299,119049
"stroop_trial","test","neutral","blue","paper",622,"b","true",120319,120941
"es_questionnaire","questionnaire",NA,NA,NA,NA,"{""q1"": 2, ""q2"": 2, ""q3"": 2, ""q4"": 3, ""q5"": 1, ""q6"": 4, ""q7"": 0, ""q8"": 0, ""q9"": 4}","",NA,NA
