"subject_id","rt","congruent","condition","age","rt_category_loop","rt_category_vec"
1,573,FALSE,"control",62,"Slow","Slow"
2,NA,FALSE,"incongruent",30,"Unknown","Unknown"
3,424,FALSE,"control",29,"Fast","Fast"
4,436,FALSE,"control",55,"Fast","Fast"
5,540,FALSE,"control",45,"Slow","Slow"
6,612,FALSE,"incongruent",25,"Slow","Slow"
7,591,FALSE,"control",28,"Slow","Slow"
8,662,TRUE,"incongruent",24,"Slow","Slow"
9,445,FALSE,"control",37,"Fast","Fast"
10,563,FALSE,"control",23,"Slow","Slow"
11,437,FALSE,"control",41,"Fast","Fast"
12,401,TRUE,"incongruent",42,"Fast","Fast"
13,594,FALSE,"control",59,"Slow","Slow"
14,NA,TRUE,"incongruent",37,"Unknown","Unknown"
15,643,FALSE,"control",47,"Slow","Slow"
16,675,FALSE,"control",65,"Slow","Slow"
17,578,FALSE,"incongruent",25,"Slow","Slow"
18,524,TRUE,"control",39,"Slow","Slow"
19,511,FALSE,"incongruent",32,"Slow","Slow"
20,517,FALSE,"control",37,"Slow","Slow"
21,478,TRUE,"control",57,"Fast","Fast"
22,629,FALSE,"incongruent",35,"Slow","Slow"
23,504,FALSE,"control",26,"Slow","Slow"
24,522,FALSE,"incongruent",59,"Slow","Slow"
25,452,FALSE,"control",47,"Fast","Fast"
26,457,TRUE,"incongruent",44,"Fast","Fast"
27,677,FALSE,"control",25,"Slow","Slow"
28,271,TRUE,"control",63,"Fast","Fast"
29,531,TRUE,"control",34,"Slow","Slow"
30,415,FALSE,"control",30,"Fast","Fast"
31,577,TRUE,"incongruent",40,"Slow","Slow"
32,345,FALSE,"incongruent",59,"Fast","Fast"
33,467,TRUE,"control",52,"Fast","Fast"
34,634,FALSE,"incongruent",22,"Slow","Slow"
35,455,TRUE,"control",28,"Fast","Fast"
36,578,FALSE,"control",30,"Slow","Slow"
37,548,FALSE,"control",30,"Slow","Slow"
38,516,FALSE,"control",59,"Slow","Slow"
39,401,TRUE,"control",51,"Fast","Fast"
40,542,TRUE,"control",30,"Slow","Slow"
